GEOID10,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,POPULATION,MEDAGE,MEDHHINC,MEDHOUSING,PCPREWAR,MEDYRBUILT,DENSITY
36005002300,36,005,002300,1400000US36005002300,4774,29,14479,406,26.8,1957,118157.60630703808
36005002701,36,005,002701,1400000US36005002701,3016,29,20153,627,40.6,1952,94522.13559855278
36005004100,36,005,004100,1400000US36005004100,6476,23,18636,655,31.3,1955,90794.61865503185
36005004800,36,005,004800,1400000US36005004800,3999,30,30301,1066,51.1,1942,68668.20046144055
36005006700,36,005,006700,1400000US36005006700,7421,28,21016,753,37.3,1950,90478.27965918185
36005008900,36,005,008900,1400000US36005008900,3438,28,20849,745,55.5,NA,80735.3160638674
36005011900,36,005,011900,1400000US36005011900,5603,29,22097,923,52,NA,86443.50120029785
36005013000,36,005,013000,1400000US36005013000,1364,44,77917,1535,19.7,1958,30416.927538228407
36005015800,36,005,015800,1400000US36005015800,1202,38,77045,1704,18.9,1958,19196.216308208368
36005016600,36,005,016600,1400000US36005016600,2252,39,63421,1643,18.7,1956,20421.667848927387
36005017500,36,005,017500,1400000US36005017500,7004,30,22000,760,58.4,NA,119664.33774646587
36005018301,36,005,018301,1400000US36005018301,4202,42,29987,1109,59.1,NA,160347.85443187176
36005021001,36,005,021001,1400000US36005021001,9254,35,48396,1150,21.3,1946,124570.55738216141
36005022102,36,005,022102,1400000US36005022102,5010,30,18664,1115,52.2,NA,165734.35530634923
36005022800,36,005,022800,1400000US36005022800,6231,33,45069,1343,42.4,1946,93719.49121064827
36005025100,36,005,025100,1400000US36005025100,6564,33,28615,1075,55.5,NA,81215.12658064577
36005028800,36,005,028800,1400000US36005028800,3527,42,91125,1401,33.4,1951,27171.639051494385
36005031200,36,005,031200,1400000US36005031200,2015,42,62275,1635,23.1,1946,25827.971850084876
36005033700,36,005,033700,1400000US36005033700,2277,44,83917,1654,43.9,1947,13900.248136782115
36005035900,36,005,035900,1400000US36005035900,1960,37,22250,984,25.5,1986,37790.05947994134
36005038000,36,005,038000,1400000US36005038000,4755,37,33506,1100,20.9,1960,57660.383172975635
36005039200,36,005,039200,1400000US36005039200,1750,39,39457,1311,42.8,1943,47147.51284665155
36005039600,36,005,039600,1400000US36005039600,4287,33,35221,1327,37.2,1960,49740.30039646097
36005039901,36,005,039901,1400000US36005039901,5168,32,22747,1115,63.2,NA,88260.500771493
36005040600,36,005,040600,1400000US36005040600,3635,39,44773,1325,74.3,NA,42156.14941319232
36005042300,36,005,042300,1400000US36005042300,4485,30,31786,1214,47.2,1941,64399.34459129818
36005043600,36,005,043600,1400000US36005043600,2244,40,57564,1728,57.7,NA,37580.96017484529
36005044902,36,005,044902,1400000US36005044902,2031,35,62656,1341,41.9,1945,33569.449693040115
36047000100,36,047,000100,1400000US36047000100,4304,45,70938,1309,50.2,1942,53641.05398603553
36047002901,36,047,002901,1400000US36047002901,3532,31,17544,449,28,1946,83724.63748272485
36047003500,36,047,003500,1400000US36047003500,1550,38,61525,1390,63.5,NA,30177.944327091493
36047004900,36,047,004900,1400000US36047004900,2520,36,116950,2277,81.3,NA,66919.26506172334
36047005602,36,047,005602,1400000US36047005602,1730,36,60164,1193,32.8,1953,33176.45450775974
36047006200,36,047,006200,1400000US36047006200,2818,37,47050,1433,59,NA,44977.20621421925
36047007800,36,047,007800,1400000US36047007800,5493,32,42000,1316,68.7,NA,103007.6899083366
36047008600,36,047,008600,1400000US36047008600,0,NA,NA,NA,NA,NA,0
36047011000,36,047,011000,1400000US36047011000,2708,26,40238,1285,63.8,NA,44373.857255834846
36047014000,36,047,014000,1400000US36047014000,1843,39,59130,1346,78.3,NA,32356.854462385272
36047017200,36,047,017200,1400000US36047017200,4040,34,70125,1353,38.7,1946,50719.09182565535
36047018300,36,047,018300,1400000US36047018300,2692,34,93625,2087,78.3,NA,50777.05133601824
36047019700,36,047,019700,1400000US36047019700,3508,40,83650,1824,66.1,NA,53499.607859763164
36047021000,36,047,021000,1400000US36047021000,4946,38,44722,1191,62.5,NA,85391.99845348799
36047023500,36,047,023500,1400000US36047023500,4015,25,45406,1508,41,1951,73451.35279076667
36047024900,36,047,024900,1400000US36047024900,3973,34,48315,1215,84.2,NA,61069.831473744176
36047025901,36,047,025901,1400000US36047025901,1914,27,41289,1366,57.7,NA,61782.43244388499
36047027000,36,047,027000,1400000US36047027000,2539,38,50490,1206,57.9,NA,49073.375461743395
36047027500,36,047,027500,1400000US36047027500,4346,34,55990,1549,85.7,NA,69448.58554523131
36047028200,36,047,028200,1400000US36047028200,3226,37,41974,1214,24.7,1953,48800.05424758345
36047029300,36,047,029300,1400000US36047029300,3426,31,30479,1067,53.7,NA,53954.14622400584
36047030100,36,047,030100,1400000US36047030100,2752,40,44911,1291,71.4,NA,36658.816326530614
36047034200,36,047,034200,1400000US36047034200,5748,46,16656,414,6.6,1972,64738.71874551551
36047035602,36,047,035602,1400000US36047035602,4835,58,32348,859,11.9,1964,73324.15202829304
36047037100,36,047,037100,1400000US36047037100,4705,30,46641,1438,59.4,NA,64357.46824613012
36047040000,36,047,040000,1400000US36047040000,3429,37,41759,1211,66.7,NA,46255.5669375
36047042700,36,047,042700,1400000US36047042700,5609,27,47055,1340,67.8,NA,97981.60517991435
36047043700,36,047,043700,1400000US36047043700,6122,29,42500,1392,72.3,NA,94309.102856769
36047044700,36,047,044700,1400000US36047044700,2480,28,50114,1438,55.1,NA,39452.18163615034
36047046400,36,047,046400,1400000US36047046400,2710,20,43889,1487,53.5,NA,41510.88198243487
36047048100,36,047,048100,1400000US36047048100,3092,33,72717,1634,43.4,1950,52929.21326362681
36047049800,36,047,049800,1400000US36047049800,4535,37,67907,1465,42.3,1943,57478.67881593564
36047050804,36,047,050804,1400000US36047050804,5782,32,50440,1173,52.1,NA,145246.1190847987
36047052700,36,047,052700,1400000US36047052700,6705,31,32022,1076,57.5,NA,91411.34117647058
36047053800,36,047,053800,1400000US36047053800,4265,43,27192,1260,44.7,1944,67170.76101695947
36047055200,36,047,055200,1400000US36047055200,3179,41,41850,1175,41.5,1946,49106.10698459465
36047056600,36,047,056600,1400000US36047056600,2747,38,61779,1401,39.9,1947,41477.85831049962
36047059200,36,047,059200,1400000US36047059200,4599,44,61164,1074,29.1,1949,54313.85740472216
36047063800,36,047,063800,1400000US36047063800,1649,48,69405,1397,58.9,NA,30681.241735032545
36047067200,36,047,067200,1400000US36047067200,1699,36,63571,2398,48.2,1941,25255.196152367178
36047067800,36,047,067800,1400000US36047067800,2392,43,81847,1902,8.3,1959,37270.9466616934
36047072000,36,047,072000,1400000US36047072000,1969,37,63000,1844,9,1961,32229.986930252544
36047074000,36,047,074000,1400000US36047074000,4264,30,60170,1197,72.1,NA,68008.15843535238
36047076600,36,047,076600,1400000US36047076600,2467,36,59926,1386,43.3,1945,77375.33478650487
36047079200,36,047,079200,1400000US36047079200,3771,34,37295,1196,87.2,NA,45072.68298175743
36047079802,36,047,079802,1400000US36047079802,5956,32,53221,1192,55.1,NA,145019.07013123753
36047082200,36,047,082200,1400000US36047082200,7608,34,38997,1179,77.2,NA,116004.43129382258
36047085000,36,047,085000,1400000US36047085000,1600,41,75417,2170,51.1,NA,28655.65889650308
36047087600,36,047,087600,1400000US36047087600,1693,32,40109,1139,40.6,1945,30832.973666261172
36047090200,36,047,090200,1400000US36047090200,3886,30,42734,891,13.3,1975,52816.40096557514
36047092000,36,047,092000,1400000US36047092000,3406,31,32292,1148,19.1,1981,37198.12914243788
36047095400,36,047,095400,1400000US36047095400,4852,37,72610,1994,11.3,1963,53017.904263667275
36047101600,36,047,101600,1400000US36047101600,1594,40,98208,1736,4.5,1964,36724.01992563469
36047111000,36,047,111000,1400000US36047111000,3400,30,16716,413,16.4,1955,71463.02019087192
36047112400,36,047,112400,1400000US36047112400,3399,30,40707,1508,51.9,NA,49499.12123205641
36047115600,36,047,115600,1400000US36047115600,4154,28,15854,609,19.1,1971,67300.6102263202
36047121000,36,047,121000,1400000US36047121000,4258,30,17139,572,12.6,1956,68906.67564747416
36061001401,36,061,001401,1400000US36061001401,3155,46,76250,1151,1,1962,87385.43621003102
36061002201,36,061,002201,1400000US36061002201,6861,39,34988,964,16.1,1965,109916.72801499379
36061003200,36,061,003200,1400000US36061003200,7871,35,71033,1543,54.4,NA,93649.43150099687
36061004000,36,061,004000,1400000US36061004000,8947,30,85338,2023,71.6,NA,129935.08262868677
36061005501,36,061,005501,1400000US36061005501,4747,37,134417,2019,18.5,1960,98794.45093895393
36061005600,36,061,005600,1400000US36061005600,2963,36,115521,2765,51.5,NA,43996.757597821415
36061007400,36,061,007400,1400000US36061007400,3752,33,128618,2631,55.2,NA,55821.20789269609
36061007700,36,061,007700,1400000US36061007700,5599,38,127729,2231,75.7,NA,81104.61421268695
36061008200,36,061,008200,1400000US36061008200,3060,50,107925,2531,25.5,1953,45970.5180364383
36061010200,36,061,010200,1400000US36061010200,258,37,NA,2958,33.6,1976,3864.960605236826
36061011500,36,061,011500,1400000US36061011500,3035,34,86741,2202,21.8,2003,44767.373510718266
36061012800,36,061,012800,1400000US36061012800,6226,53,175259,2035,37.3,1950,90191.09171653895
36061014401,36,061,014401,1400000US36061014401,5228,45,101750,2017,38.4,1955,182193.74943150472
36061015002,36,061,015002,1400000US36061015002,5171,56,156500,1861,51,1949,106655.42161804876
36061015802,36,061,015802,1400000US36061015802,4808,30,100642,2395,23,1990,241752.32583964278
36061017300,36,061,017300,1400000US36061017300,8486,41,113750,1651,63.6,NA,123059.30598761492
36061018500,36,061,018500,1400000US36061018500,5174,42,91776,1612,3.3,1965,102778.72047736285
36061018600,36,061,018600,1400000US36061018600,7310,30,24769,563,18.2,1956,155520.97356618312
36061022400,36,061,022400,1400000US36061022400,7962,29,25000,705,22.5,1955,105921.21947536302
36061023600,36,061,023600,1400000US36061023600,7004,34,36540,783,17.9,1964,68933.02104439159
36061024900,36,061,024900,1400000US36061024900,1324,34,37679,880,81.4,NA,56531.49758485963
36061025300,36,061,025300,1400000US36061025300,12189,33,36780,1153,63.8,NA,186416.0032359211
36061026700,36,061,026700,1400000US36061026700,2342,24,39033,1247,54.8,NA,128137.05471291563
36061031704,36,061,031704,1400000US36061031704,6887,37,152692,2909,0.9,1986,81099.04046484559
36081000100,36,081,000100,1400000US36081000100,6403,33,127807,2781,1.7,2005,14547.686278569136
36081001800,36,081,001800,1400000US36081001800,3443,38,62895,1429,61.6,NA,50241.58502217039
36081004300,36,081,004300,1400000US36081004300,2418,32,18594,523,7.7,1954,36663.43301739328
36081005700,36,081,005700,1400000US36081005700,4315,35,57569,1442,49.7,1941,49989.033256547315
36081007700,36,081,007700,1400000US36081007700,1446,31,78409,1761,23.2,1988,29565.0460868055
36081009700,36,081,009700,1400000US36081009700,3410,35,78319,1671,61.4,NA,43764.105527090374
36081010600,36,081,010600,1400000US36081010600,3741,35,55625,1249,55.9,NA,56004.02933968371
36081011300,36,081,011300,1400000US36081011300,4229,35,60404,1421,51.7,NA,61301.23380868163
36081012000,36,081,012000,1400000US36081012000,2467,36,48073,1555,56.3,NA,44210.95878164721
36081014100,36,081,014100,1400000US36081014100,1729,31,64643,1404,51.7,NA,26176.787719718715
36081015400,36,081,015400,1400000US36081015400,2524,34,53095,1447,53.8,NA,43539.06724211424
36081016600,36,081,016600,1400000US36081016600,3409,31,48750,1404,46.5,1944,43518.804301965654
36081019400,36,081,019400,1400000US36081019400,2508,37,71204,1694,29.8,1949,21234.89247687947
36081020600,36,081,020600,1400000US36081020600,1855,37,65648,1420,34.1,1953,32328.231122236128
36081023800,36,081,023800,1400000US36081023800,4705,35,38750,1242,34.4,1950,77771.21265691912
36081026000,36,081,026000,1400000US36081026000,2818,27,37857,1507,19.1,1961,40916.8620442212
36081027000,36,081,027000,1400000US36081027000,2080,31,46250,2054,44.9,1943,29109.165495925823
36081030903,36,081,030903,1400000US36081030903,6441,36,54185,1573,12.3,1953,47432.521589300035
36081035800,36,081,035800,1400000US36081035800,4094,33,75368,1665,19.1,1954,20216.804812339724
36081036700,36,081,036700,1400000US36081036700,2644,40,60000,1775,41.5,1945,35014.15445657954
36081040900,36,081,040900,1400000US36081040900,6017,31,50045,1431,25.6,1958,102210.66443670516
36081042600,36,081,042600,1400000US36081042600,512,72,NA,NA,NA,NA,2527.554443273287
36081043702,36,081,043702,1400000US36081043702,6213,33,37904,1112,11.4,1961,91582.50397823637
36081046100,36,081,046100,1400000US36081046100,2988,35,44757,1461,20.4,1956,68596.7907673489
36081049301,36,081,049301,1400000US36081049301,1933,39,60426,1419,32.6,1956,30501.82046595506
36081050500,36,081,050500,1400000US36081050500,1456,37,62625,1410,19.2,1962,32477.177645913893
36081052000,36,081,052000,1400000US36081052000,1640,43,102625,1872,54.1,NA,24664.547133217973
36081053800,36,081,053800,1400000US36081053800,1720,38,74844,1822,49,1942,23600.97989976371
36081055300,36,081,055300,1400000US36081055300,2436,29,46780,1347,70.1,NA,46043.89508560419
36081057700,36,081,057700,1400000US36081057700,3797,35,66983,1263,62.9,NA,52701.95303322616
36081059400,36,081,059400,1400000US36081059400,1553,46,89500,1613,19.8,1950,18114.495933275088
36081062000,36,081,062000,1400000US36081062000,1518,48,91538,1961,30.3,1945,18182.16276811232
36081063302,36,081,063302,1400000US36081063302,1490,41,66983,1547,71.9,NA,27815.409654098705
36081065702,36,081,065702,1400000US36081065702,1761,47,61905,1411,34.1,1958,31650.316560841053
36081067700,36,081,067700,1400000US36081067700,1826,46,87802,1476,60,NA,25432.867918237404
36081069702,36,081,069702,1400000US36081069702,3548,47,77729,1425,34.5,1947,20817.584707500133
36081071306,36,081,071306,1400000US36081071306,6256,36,65837,1412,21.4,1950,89356.72136282668
36081074300,36,081,074300,1400000US36081074300,4654,41,58867,1241,7.5,1952,62300.96679191842
36081077907,36,081,077907,1400000US36081077907,3186,26,44524,1335,14.2,1955,38055.38692271508
36081079900,36,081,079900,1400000US36081079900,3405,39,42250,1376,26,1957,30716.45463189682
36081086300,36,081,086300,1400000US36081086300,6845,38,32721,1199,9.5,1965,122982.83682728194
36081097204,36,081,097204,1400000US36081097204,4052,42,40506,890,9.6,1960,26783.907591635063
36081099900,36,081,099900,1400000US36081099900,0,NA,NA,NA,NA,NA,0
36081108500,36,081,108500,1400000US36081108500,2496,41,66467,1440,30.3,1950,14533.255506221689
36081114700,36,081,114700,1400000US36081114700,1802,50,74861,1877,44.4,1942,15131.593305623821
36081124700,36,081,124700,1400000US36081124700,3442,43,71790,1832,11.6,1949,18470.744706728186
36081137700,36,081,137700,1400000US36081137700,6270,38,61292,1473,5.8,1952,21661.397466936112
36081140901,36,081,140901,1400000US36081140901,958,46,88333,1985,2.5,1949,10148.009030600977
36081146300,36,081,146300,1400000US36081146300,3209,45,79297,1607,41.3,1951,25654.685483398
36081150702,36,081,150702,1400000US36081150702,3156,48,68301,1426,23.5,1957,9533.787116910746
36085001800,36,085,001800,1400000US36085001800,615,28,65909,1417,21.5,1984,1750.8151712736817
36085003600,36,085,003600,1400000US36085003600,2608,38,70375,1764,33.5,1965,16507.745199580626
36085009700,36,085,009700,1400000US36085009700,4316,35,70556,1710,44.7,1948,9716.653693034641
36085013301,36,085,013301,1400000US36085013301,1531,25,14030,426,19.9,1962,58886.96597710026
36085014607,36,085,014607,1400000US36085014607,4909,38,81883,1818,2.1,1976,18602.28287084588
36085017012,36,085,017012,1400000US36085017012,4802,39,71123,1535,2,1974,12378.645653930831
36085020804,36,085,020804,1400000US36085020804,5602,42,88314,1908,3.3,1979,10902.893520835494
36005001600,36,005,001600,1400000US36005001600,5879,38,32312,1014,6,1973,31389.813725187032
36005002000,36,005,002000,1400000US36005002000,8516,35,18086,770,23.8,1954,55759.21420553943
36005002500,36,005,002500,1400000US36005002500,5355,29,17226,560,40.7,1948,108786.3218084272
36005003700,36,005,003700,1400000US36005003700,246,51,NA,907,33.1,1961,3838.7993709820266
36005005002,36,005,005002,1400000US36005005002,5650,29,28039,1110,64.5,NA,128473.88281153975
36005006200,36,005,006200,1400000US36005006200,7610,29,24480,643,21.1,1956,102154.06018388945
36005006800,36,005,006800,1400000US36005006800,3288,31,47232,1277,24.3,1955,55163.95600295386
36005007400,36,005,007400,1400000US36005007400,3635,39,44455,1226,6.1,1970,50301.911605988396
36005008600,36,005,008600,1400000US36005008600,3874,34,23045,431,10.7,1957,53467.55007513668
36005011000,36,005,011000,1400000US36005011000,153,40,NA,1411,54.5,1953,191.0895651796521
36005012500,36,005,012500,1400000US36005012500,4272,28,26348,1198,30.2,1988,65551.05862279388
36005014100,36,005,014100,1400000US36005014100,5355,31,32500,1033,18.3,2001,78284.69198378922
36005014702,36,005,014702,1400000US36005014702,5243,26,17782,477,38.4,1951,116755.00046429248
36005018302,36,005,018302,1400000US36005018302,4078,30,31324,1111,67.3,NA,94062.27848281636
36005019500,36,005,019500,1400000US36005019500,7622,32,26706,1059,46.8,1943,89794.98433434617
36005020501,36,005,020501,1400000US36005020501,7030,30,23160,853,24.1,1953,67967.52227618362
36005021301,36,005,021301,1400000US36005021301,1194,34,16378,891,38.6,1951,47287.271159227486
36005021601,36,005,021601,1400000US36005021601,4137,35,25847,1190,44.6,1945,65320.08629865577
36005022101,36,005,022101,1400000US36005022101,3884,27,25870,1080,48.8,1941,147675.58819125354
36005022403,36,005,022403,1400000US36005022403,3502,33,38333,1260,56.8,NA,72641.2998029825
36005023301,36,005,023301,1400000US36005023301,4356,34,26250,1075,52.2,NA,94717.47370542011
36005023704,36,005,023704,1400000US36005023704,3717,28,20918,1112,64.6,NA,142693.88130317492
36005024400,36,005,024400,1400000US36005024400,2551,34,59063,1422,41.2,1949,37600.35618434082
36005025700,36,005,025700,1400000US36005025700,1728,34,28203,1099,63.8,NA,27750.043489852986
36005026602,36,005,026602,1400000US36005026602,5769,39,40755,1139,30.3,1953,49247.81976090733
36005029301,36,005,029301,1400000US36005029301,1989,54,102045,1127,9.4,1958,18048.60201175098
36005031000,36,005,031000,1400000US36005031000,4869,51,80724,2035,26.1,1960,19890.178406155068
36005031900,36,005,031900,1400000US36005031900,645,20,NA,NA,NA,NA,7836.666791762444
36005033000,36,005,033000,1400000US36005033000,5697,33,37811,1063,26.4,1956,71582.17250362637
36005033800,36,005,033800,1400000US36005033800,4247,32,37043,1186,37.8,1947,68160.1130003718
36005036000,36,005,036000,1400000US36005036000,3063,42,65938,1681,24.5,1951,29804.08918910796
36005036700,36,005,036700,1400000US36005036700,2709,25,23720,1133,41.5,1949,75392.77147738628
36005037300,36,005,037300,1400000US36005037300,5463,27,29033,1073,44.6,1943,81573.13188010585
36005038200,36,005,038200,1400000US36005038200,2666,35,46953,1842,29.5,1951,43933.294360175096
36005041300,36,005,041300,1400000US36005041300,7561,33,38796,1177,53.7,NA,112962.18961916957
36005042901,36,005,042901,1400000US36005042901,4055,31,39625,1193,66.2,NA,102706.94472695977
36005044400,36,005,044400,1400000US36005044400,3576,41,67727,1664,38.8,1947,25370.2685494364
36005045102,36,005,045102,1400000US36005045102,1893,39,80139,1170,33.6,1951,23800.345069636263
36047038300,36,047,038300,1400000US36047038300,4655,32,48712,1420,78.1,NA,69075.6457869015
36047039300,36,047,039300,1400000US36047039300,3444,33,52244,1224,64.2,NA,47045.24017025047
36047039800,36,047,039800,1400000US36047039800,2859,37,52721,1262,58,NA,36494.34550669782
36047040400,36,047,040400,1400000US36047040400,2451,45,39947,1171,61.6,NA,41312.38180398282
36047041500,36,047,041500,1400000US36047041500,4478,28,53924,1531,65.1,NA,71287.87072505102
36047042100,36,047,042100,1400000US36047042100,4016,31,34362,1163,52.5,NA,67815.85119020453
36047042600,36,047,042600,1400000US36047042600,4408,45,47788,1174,70.4,NA,67154.1001488174
36047043300,36,047,043300,1400000US36047043300,4601,28,37882,1151,47.3,1963,70828.46318166959
36047044000,36,047,044000,1400000US36047044000,2943,33,47727,1455,51.7,NA,37820.08059858491
36047044600,36,047,044600,1400000US36047044600,2021,44,47031,1205,49.3,1941,37018.66892035248
36047045400,36,047,045400,1400000US36047045400,1896,30,47188,1380,64.3,NA,37113.92200253945
36047049900,36,047,049900,1400000US36047049900,1728,35,70031,1661,57.5,NA,31584.550801346515
36047050600,36,047,050600,1400000US36047050600,5740,32,48583,1430,61,NA,90272.52706682455
36047051100,36,047,051100,1400000US36047051100,3798,32,31047,970,20.7,1966,61864.94946039093
36081036800,36,081,036800,1400000US36081036800,2446,38,71923,1806,42.3,1943,27207.532287711943
36081037900,36,081,037900,1400000US36081037900,7287,27,48523,1640,24.9,1958,95770.68994808871
36081038400,36,081,038400,1400000US36081038400,2420,37,62500,1775,22.3,1953,21067.075475186124
36081044601,36,081,044601,1400000US36081044601,3119,34,36553,1141,15.6,1956,35939.24791678716
36081045000,36,081,045000,1400000US36081045000,1902,42,62383,1544,60.9,NA,28613.166376245907
36081046000,36,081,046000,1400000US36081046000,5817,34,28113,1173,30.9,1958,68089.195889148
36081048400,36,081,048400,1400000US36081048400,4977,41,61184,1560,42.4,1944,31085.327317406074
36081049600,36,081,049600,1400000US36081049600,3110,42,73013,1585,56.9,NA,29492.45990714568
36081050202,36,081,050202,1400000US36081050202,1357,34,61618,2080,61.8,NA,22993.272770094336
36081051500,36,081,051500,1400000US36081051500,2693,43,69560,1390,38.8,1947,31087.01305462082
36081052200,36,081,052200,1400000US36081052200,1854,40,81923,1887,35.3,1945,28272.71403674046
36081053200,36,081,053200,1400000US36081053200,1699,41,86950,1780,34.1,1948,23183.861309561442
36081054500,36,081,054500,1400000US36081054500,3813,30,52214,1303,57,NA,87029.84158485645
36081055400,36,081,055400,1400000US36081055400,2344,44,63542,1637,37.9,1944,27585.615296533924
36047052800,36,047,052800,1400000US36047052800,1843,39,88068,1442,67.5,NA,27183.848537828526
36047053500,36,047,053500,1400000US36047053500,4326,19,20044,1071,66,NA,85946.18213617256
36047053900,36,047,053900,1400000US36047053900,2638,28,19602,1096,12.2,1974,67395.84268621088
36047054800,36,047,054800,1400000US36047054800,2193,38,58906,1374,67.3,NA,32789.7684101143
36047055400,36,047,055400,1400000US36047055400,4028,34,51830,1279,40.6,1942,61620.85081600226
36047056000,36,047,056000,1400000US36047056000,3681,40,45788,1231,53.6,NA,51602.937061574434
36047056500,36,047,056500,1400000US36047056500,3125,35,78445,1707,70.4,NA,34012.48303307657
36047057300,36,047,057300,1400000US36047057300,2375,33,70878,1754,53.9,NA,36153.45711229444
36047059100,36,047,059100,1400000US36047059100,3818,33,76532,1703,72.1,NA,51474.840238411285
36047060600,36,047,060600,1400000US36047060600,2482,43,29759,1093,19.6,1957,35883.90400964593
36047063600,36,047,063600,1400000US36047063600,1349,40,93214,1602,57.5,NA,30561.867462080787
36047065200,36,047,065200,1400000US36047065200,1241,44,95368,1259,51.1,1941,18396.885795561866
36047067400,36,047,067400,1400000US36047067400,1938,44,81964,1801,50.5,1940,26528.319181434286
36047068800,36,047,068800,1400000US36047068800,1863,41,81750,1733,38.2,1950,30750.660523095747
36081055900,36,081,055900,1400000US36081055900,1401,29,60625,1375,19.3,1959,22878.48317171284
36081056600,36,081,056600,1400000US36081056600,1703,37,71087,1973,49.5,1940,22720.12920972112
36081059000,36,081,059000,1400000US36081059000,1428,46,69022,1758,47.3,1941,23319.690189155106
36081059800,36,081,059800,1400000US36081059800,1727,39,83021,1878,31.2,1947,21663.61995631348
36081061302,36,081,061302,1400000US36081061302,15,50,NA,NA,42.9,NA,79.76835245250322
36081061900,36,081,061900,1400000US36081061900,2738,36,69004,1159,59.6,NA,27501.132964654964
36081062600,36,081,062600,1400000US36081062600,3096,39,86196,2029,32.6,1946,18674.14425844675
36081063301,36,081,063301,1400000US36081063301,1450,40,62604,1323,72.1,NA,27873.103499461908
36081064500,36,081,064500,1400000US36081064500,1948,43,80132,1589,46.6,1944,16296.59882684307
36081066100,36,081,066100,1400000US36081066100,1469,49,75313,1334,5.4,1956,28483.353087380965
36081071702,36,081,071702,1400000US36081071702,3865,41,40000,1062,2,1966,44100.97371644066
36081072300,36,081,072300,1400000US36081072300,1965,45,124643,1807,80.3,NA,10827.064051942747
36081075701,36,081,075701,1400000US36081075701,5053,40,69375,1358,11.4,1955,66707.83163002646
36081077903,36,081,077903,1400000US36081077903,3130,39,69216,1196,16.1,1946,30821.93646013931
36047072600,36,047,072600,1400000US36047072600,2110,41,82961,1946,50.5,NA,19860.138824281894
36047073600,36,047,073600,1400000US36047073600,3624,38,60051,1339,54.8,NA,52725.6598321518
36047074800,36,047,074800,1400000US36047074800,1906,30,61667,1473,36.4,1953,27961.172977473678
36047075400,36,047,075400,1400000US36047075400,1573,38,86389,2188,61.3,NA,23487.383755051684
36047077200,36,047,077200,1400000US36047077200,2917,38,61117,1238,61.9,NA,18685.081346316034
36047083000,36,047,083000,1400000US36047083000,6023,36,45598,1190,57.6,NA,77307.51901281066
36047085800,36,047,085800,1400000US36047085800,2378,36,52083,1320,49,NA,46144.44575641333
36047087401,36,047,087401,1400000US36047087401,3122,41,30150,1074,35.3,1951,61915.698306226834
36047088800,36,047,088800,1400000US36047088800,4274,36,43046,1283,37.8,1955,55004.540206410966
36047091200,36,047,091200,1400000US36047091200,6627,26,20360,485,19.3,1953,102631.89650615594
36047092400,36,047,092400,1400000US36047092400,3420,30,37266,1162,11.5,1984,35193.549766177835
36047094600,36,047,094600,1400000US36047094600,1990,38,60950,1552,38.2,1943,18291.8494227541
36047096200,36,047,096200,1400000US36047096200,1828,33,64750,1714,29.4,1961,26434.941730876602
36047098400,36,047,098400,1400000US36047098400,2035,41,71146,1726,2.6,1964,46716.70681876601
36081080301,36,081,080301,1400000US36081080301,4855,33,50707,1379,14,1961,39884.01117757887
36081084500,36,081,084500,1400000US36081084500,4484,49,24335,968,5.1,1968,61552.6415230342
36081085500,36,081,085500,1400000US36081085500,6375,42,44422,1275,8.5,1958,126516.58544434738
36081093402,36,081,093402,1400000US36081093402,3841,48,70577,1377,39.1,1951,25201.571422419143
36081095400,36,081,095400,1400000US36081095400,5221,35,61458,1721,19.3,1964,16718.483414830156
36081099100,36,081,099100,1400000US36081099100,6234,45,88793,1255,13.1,1956,14932.71687835087
36081099802,36,081,099802,1400000US36081099802,5391,39,34287,1057,6.7,1969,32125.388108018564
36081103300,36,081,103300,1400000US36081103300,4044,41,71917,1615,10.8,1958,17282.31340091874
36081111300,36,081,111300,1400000US36081111300,2476,42,79917,2104,30,1956,8781.00285223297
36081115100,36,081,115100,1400000US36081115100,1189,47,70404,1435,67.6,NA,10895.585970697397
36081116700,36,081,116700,1400000US36081116700,1990,39,37356,1443,32,1953,31028.46413176969
36081119500,36,081,119500,1400000US36081119500,1412,42,81618,1563,50.2,1942,19313.161748241408
36081120300,36,081,120300,1400000US36081120300,1734,39,60625,1644,26.3,1953,24406.22998500098
36047100400,36,047,100400,1400000US36047100400,2831,35,66105,1856,5.2,1964,55524.67950989747
36047101400,36,047,101400,1400000US36047101400,2240,40,60969,1650,7.7,1961,37440.615408443795
36047102200,36,047,102200,1400000US36047102200,2205,39,57143,1618,18.4,1961,35068.82780981155
36047105804,36,047,105804,1400000US36047105804,6416,43,27649,629,2,1975,21573.902351565008
36047110600,36,047,110600,1400000US36047110600,4438,27,24564,448,24.1,1954,67197.69161604882
36047113000,36,047,113000,1400000US36047113000,4386,27,29038,1095,35.9,1960,58605.840975690284
36047114600,36,047,114600,1400000US36047114600,3119,33,30101,1311,59.8,NA,50456.72776559796
36047117202,36,047,117202,1400000US36047117202,3121,35,52260,1391,61.6,NA,53240.547122712036
36047117602,36,047,117602,1400000US36047117602,2800,32,28304,1140,85.1,NA,50431.271427478634
36047118800,36,047,118800,1400000US36047118800,4519,29,30699,1212,64,NA,67120.99150102654
36081124100,36,081,124100,1400000US36081124100,3148,38,62285,1688,7.7,1955,16329.98164167416
